trial_key,method,feature,target_class,beta,mask_weight,seed,original_weight,flipped_weight,calibration_clean_accuracy,calibration_flipped_accuracy,calibration_bad,original_bits,flipped_bits,bit_hamming_distance,clean_model_accuracy,backdoor_clean_accuracy,bad,trigger_only_asr,bit_only_asr,trigger_plus_bit_asr,bit_marginal_gain,mask_l1,ssim,qualifies
causal_target_6_feature_43_beta_0.5_lambda_0.001_seed_20260904,causal,43,6,0.5,0.001,20260904,0.06789074093103409,1.0862518548965454,0.86328125,0.8623046875,0.0009765625,00111101100010110000101001001101,00111111100010110000101001001101,1,0.8642,0.8639,0.00029999999999996696,0.5804,0.1089,0.6621,0.0817,482.48077392578125,0.6310193966865539,False
causal_target_6_feature_43_beta_0.5_lambda_0.002_seed_20260904,causal,43,6,0.5,0.002,20260904,0.06789074093103409,1.0862518548965454,0.86328125,0.8623046875,0.0009765625,00111101100010110000101001001101,00111111100010110000101001001101,1,0.8642,0.8639,0.00029999999999996696,0.6171,0.1089,0.658,0.04090000000000005,380.92279052734375,0.6894155126571655,False
causal_target_6_feature_43_beta_1_lambda_0.001_seed_20260904,causal,43,6,1.0,0.001,20260904,0.06789074093103409,1.0862518548965454,0.86328125,0.8623046875,0.0009765625,00111101100010110000101001001101,00111111100010110000101001001101,1,0.8642,0.8639,0.00029999999999996696,0.5056,0.1089,0.5818,0.07619999999999993,551.8885498046875,0.5810681658744812,False
causal_target_6_feature_43_beta_1_lambda_0.002_seed_20260904,causal,43,6,1.0,0.002,20260904,0.06789074093103409,1.0862518548965454,0.86328125,0.8623046875,0.0009765625,00111101100010110000101001001101,00111111100010110000101001001101,1,0.8642,0.8639,0.00029999999999996696,0.4979,0.1089,0.5647,0.06679999999999997,456.640869140625,0.6508110248565674,False
causal_target_6_feature_43_beta_2_lambda_0.001_seed_20260904,causal,43,6,2.0,0.001,20260904,0.06789074093103409,1.0862518548965454,0.86328125,0.8623046875,0.0009765625,00111101100010110000101001001101,00111111100010110000101001001101,1,0.8642,0.8639,0.00029999999999996696,0.4226,0.1089,0.5094,0.08679999999999999,552.7913818359375,0.5843748869895935,False
causal_target_6_feature_43_beta_2_lambda_0.002_seed_20260904,causal,43,6,2.0,0.002,20260904,0.06789074093103409,1.0862518548965454,0.86328125,0.8623046875,0.0009765625,00111101100010110000101001001101,00111111100010110000101001001101,1,0.8642,0.8639,0.00029999999999996696,0.4465,0.1089,0.4985,0.05199999999999999,493.44073486328125,0.6295750776290894,False
causal_target_6_feature_51_beta_0.5_lambda_0.001_seed_20260904,causal,51,6,0.5,0.001,20260904,0.0062203602865338326,1.5924122333526611,0.86328125,0.86328125,0.0,00111011110010111101010000101010,00111111110010111101010000101010,1,0.8642,0.8647,-0.000500000000000056,0.608,0.1082,0.7367,0.12870000000000004,469.2564392089844,0.6413709341049194,False
causal_target_6_feature_51_beta_0.5_lambda_0.002_seed_20260904,causal,51,6,0.5,0.002,20260904,0.0062203602865338326,1.5924122333526611,0.86328125,0.86328125,0.0,00111011110010111101010000101010,00111111110010111101010000101010,1,0.8642,0.8647,-0.000500000000000056,0.589,0.1082,0.7016,0.11260000000000003,363.88897705078125,0.7037506591796875,False
causal_target_6_feature_51_beta_1_lambda_0.001_seed_20260904,causal,51,6,1.0,0.001,20260904,0.0062203602865338326,1.5924122333526611,0.86328125,0.86328125,0.0,00111011110010111101010000101010,00111111110010111101010000101010,1,0.8642,0.8647,-0.000500000000000056,0.4855,0.1082,0.6841,0.19860000000000005,536.2784423828125,0.590941507434845,False
causal_target_6_feature_51_beta_1_lambda_0.002_seed_20260904,causal,51,6,1.0,0.002,20260904,0.0062203602865338326,1.5924122333526611,0.86328125,0.86328125,0.0,00111011110010111101010000101010,00111111110010111101010000101010,1,0.8642,0.8647,-0.000500000000000056,0.4626,0.1082,0.6444,0.18179999999999996,443.55975341796875,0.6560174434661865,False
causal_target_6_feature_51_beta_2_lambda_0.001_seed_20260904,causal,51,6,2.0,0.001,20260904,0.0062203602865338326,1.5924122333526611,0.86328125,0.86328125,0.0,00111011110010111101010000101010,00111111110010111101010000101010,1,0.8642,0.8647,-0.000500000000000056,0.4521,0.1082,0.66,0.20790000000000003,571.6475219726562,0.5715220876693725,False
